ISO3;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
PER;130249;130269;134137;137271;143554;152497;161578;163235;163318;164704;171872;179084;186617;193087;196232;196015;192703;188738;189703
MAR;140000;145000;170000;150000;140000;157000;160000;160000;180000;190000;192000;198657;204422;254000;259078;245514;257799;260700;283002
AFG;126000;108000;150000;137000;149300;141100;117300;137000;133000;135000;131000;138000;139000;134000;137429;136428;134747;128357;129691
AGO;93806;94464;96202;96017;72250;84660;84863;91800;96900;97750;98600;100300;102000;105400;106658;106559;104897;104539;104761
ALB;35900;35300;37600;40000;39600;40800;48651;49775;39600;39000;40800;41200;41460;41820;38070;38556;38880;39017;38544
ANT;18;18;17;18;18;18;18;20;23;23;20;20;23;23;22;21;20;20;18
ARE;15325;8135;9208;20000;20500;7050;5000;7500;11250;14750;15000;15375;15750;16000;16739;16163;16301;16401;19917
ARG;2718000;2461000;2493000;2658000;3024000;3130800;3033600;3223700;3131902;3378460;2630163;2498954;2595815;2821608;2674000;2727000;2644000;2842000;3066000
ARM;30900;29413;29613;29921;33406;34400;40400;43300;49300;49600;48000;48200;47600;53600;59000;63600;68100;70800;68800
ASM;3;3;3;3;3;3;3;4;4;4;4;3;3;3;4;4;4;4;4
ATG;470;500;510;520;520;520;520;520;560;560;148;152;156;159;163;167;150;150;168
AUS;1987902;2078900;2089742;1997563;2112892;2090272;2188318;2168946;2138328;2106385;2128598;2129021;2152031;2359064;2595149;2661640;2315994;2048517;2219103
AUT;203489;215240;211855;207737;206103;204468;216478;217784;224231;226294;226677;222168;222156;228913;223193;229648;228335;226859;233723
AZE;78425;80596;86814;91992;94617;95909;97811;98444;100539;102331;112361;115471;118410;120799;122370;129753;130984;132902;135620
BDI;8600;8613;7775;8739;7368;8888;12001;10732;9738;7974;7800;9938;12068;7413;10246;11328;9288;10287;10301
BEL;275360;285250;305388;275170;280931;267156;286979;287977;285037;261801;281634;272282;262280;249973;257670;267877;278362;281536;277311
BEN;25653;27183;27880;28560;29274;29971;30770;31569;32453;33218;34085;34986;35887;36822;37744;38760;39763;40800;41854
BFA;68615;69987;71387;104555;106646;111745;113980;116259;118584;120955;123374;125841;128357;130700;115263;94973;110000;105000;110130
BGD;176500;178600;182700;184600;185700;188000;189200;191400;192600;193800;194112;196675;197164;198483;199492;202102;202966;204371;205684
BGR;60700;21650;23804;28727;30887;30025;22989;21778;20029;22040;19809;20991;20684;19366;17632;18666;17638;17373;16305
BHR;896;912;1440;1020;875;875;876;876;972;972;1020;1020;1020;1032;1058;986;954;985;986
BHS;17;20;26;27;28;28;18;17;19;19;17;18;19;19;18;18;17;17;17
BIH;16300;13700;16000;17700;19313;23583;22378;23809;26335;23363;23390;22424;22900;16415;11429;22849;15958;15530;11543
BLR;212500;230900;226500;211400;223800;255800;271800;274400;268900;307900;308100;297800;293000;315700;295500;339000;327200;317300;326100
BLZ;1135;1467;1848;2221;2658;1613;1684;1618;1715;1625;1513;1605;1665;1848;1549;1599;1448;1483;1783
BMU;25;25;26;25;25;25;36;35;29;29;29;29;30;30;30;30;29;29;29
BOL;159794;160943;164551;168226;172000;175000;200000;244375;248680;202026;202347;205187;212595;215179;224651;243000;252000;260000;268000
BRA;6578800;6823600;7139000;7230000;7774000;8592000;9020000;9303000;9024000;8935000;9115000;9030000;9307000;9675000;9723000;9425000;9284000;9550000;9900000
BRB;766;426;417;396;258;182;182;142;153;160;167;156;148;140;153;173;176;163;176
BRN;3358;3243;3780;3675;2883;2213;1551;1323;882;936;824;1126;1040;670;925;606;894;869;718
BTN;6011;5905;5696;6212;6212;6212;6218;6214;5363;5705;5593;5334;5290;5329;5026;5064;5060;5059;4982
BWA;28980;33750;29000;26856;35000;35000;35000;35000;36000;40000;46000;47000;47000;36289;25000;28000;30000;34000;32186
CAF;67100;67000;69000;65500;74000;76000;78000;84000;81000;82500;85000;88000;90000;91929;93491;94776;96176;97745;99590
CAN;1263440;1261610;1297530;1203610;1500140;1469980;1328700;1277650;1303630;1239440;1240625;1105995;1026027;1023995;1068591;1017551;1111992;1167695;1231352
CHE;128394;137831;139895;137203;134378;132763;135336;133453;135960;142182;143475;144490;144922;143600;143854;141909;144456;139744;147970
CHL;226363;217640;199957;191784;208258;215584;237553;241677;240257;209853;210744;190979;197459;206200;224112;225261;215023;203104;199314
CHN;5155924;5107845;5239939;5445101;5624749;5702119;5924165;6281250;6191903;6277317;6306451;6122697;6162285;6146303;6173202;6183515;6183349;6360647;6455137
CIV;33232;32243;27713;26279;28445;29612;31145;28928;30678;33558;34264;31315;31080;31835;30344;31384;32749;32702;33107
CMR;93000;94800;90000;89827;93000;94000;94500;95000;109600;109600;81910;85998;87495;92163;97380;96526;88939;86561;84268
COD;13500;13018;12490;12466;12423;12400;12380;12360;12340;12320;12200;12260;14188;15064;15108;16314;16907;16800;16673
COG;1622;1685;1716;1872;2808;3744;4680;5538;6080;5638;6150;6396;6552;6154;6538;6567;6905;6921;7008
COK;6;5;3;3;2;2;2;3;3;3;4;4;4;4;4;3;3;3;3
COL;745000;700000;675000;642242;717288;792168;827220;856261;917368;810068;766591;820985;854232;856232;837384;854314;796544;753433;885929
COM;1012;1100;1265;1100;1243;1100;1265;1232;1232;1243;1243;1243;1265;1265;1258;1271;1282;1278;1282
CPV;480;500;450;450;455;565;670;770;890;905;964;544;545;546;527;524;531;691;694
CRI;82268;74348;68312;74104;70021;80741;75341;80847;87524;94592;97486;95999;87520;85033;88196;82008;72975;77904;83348
CUB;75774;74953;65815;56150;55250;59900;55650;54050;61950;65000;63500;66500;67050;66900;71350;75600;83800;83550;78673
CYP;4450;3900;3800;4003;3804;4182;4003;3920;4248;4505;4479;4827;5313;4562;4573;4953;4954;5101;5273
CZE;108161;106045;109494;108126;96660;81031;79187;79328;80020;77026;74259;72125;66060;65322;66151;69014;72794;67714;72944
DEU;1303500;1361500;1316375;1226235;1258000;1166900;1193180;1185724;1199431;1189615;1205002;1170376;1146255;1116507;1142603;1132340;1155483;1137008;1123452
DJI;6050;6050;6050;6050;3630;5170;2200;6000;6050;6050;6050;6050;5914;5918;6050;6193;6309;6354;6414
DMA;540;540;540;540;540;540;540;540;540;540;540;558;576;567;571;572;568;572;574
DNK;153900;153400;153500;146500;150000;135921;128650;129986;128800;127900;132500;134200;126700;128000;125759;120491;129340;124148;129379
DOM;68965;70789;71692;72167;72893;71986;84233;101097;99278;101759;112954;102035;95861;100654;78654;95290;92635;66473;72398
DZA;132600;105000;116000;121000;125000;120000;122000;123000;125000;130500;126126;125386;135674;139948;145724;155037;164268;166291;153192
ECU;170615;187544;202646;205518;206532;208834;210500;233124;248050;265200;260000;268000;265000;260500;232771;214025;212990;216496;210277
EGY;570000;557000;673900;653000;670000;707000;727000;763200;804902;827667;855653;850285;849512;824470;801000;837384;826578;758155;721203
ERI;16350;14715;14170;16677;16650;16677;19444;22800;17180;23021;23300;23800;24000;22585;23564;23472;23623;23345;23242
ESP;651093;650841;678838;706369;713886;715329;670048;620166;658332;598431;606596;604113;591319;580840;585218;626104;637013;643861;669008
EST;15383;14159;16508;13149;15242;13431;14829;15422;14277;14172;12926;12187;12275;11481;9800;12600;14800;11900;12500
ETH;294000;303500;352500;338250;336000;350260;374000;363000;380000;355000;420000;410000;338150;340750;384651;372864;385995;401219;407301
FIN;91430;89770;90730;95820;93290;86710;87150;88570;81900;82050;83040;83500;81180;81190;83069;86490;86720;86080;87050
FJI;2688;2874;2452;2456;2233;2252;2255;1958;1866;1719;2023;2197;1613;2272;2800;3591;2032;4207;3587
FLK;131;128;131;131;131;131;130;150;142;131;129;129;128;128;145;143;141;142;141
FRA;1527600;1561442;1646277;1632047;1577971;1546741;1486675;1502561;1502901;1515808;1530258;1566806;1493865;1400331;1410854;1447906;1466099;1432780;1436358
FRO;89;91;93;93;91;83;81;78;78;78;78;96;96;96;102;96;94;96;94
FSM;245;245;245;245;245;245;245;258;243;242;229;240;237;240;297;302;280;293;292
GAB;1115;1208;997;1274;1439;1571;1109;1030;1122;1122;1135;1148;1155;1162;1175;1191;1154;1159;1164
GBR;705000;645000;694000;699000;719000;762000;847281;882000;862000;833000;908000;936000;885000;847000;877000;885000;915000;905000;922000
GEO;48266;47010;49220;50079;46700;46404;33000;31300;25100;29200;26700;21300;16200;20200;22800;24400;21500;21400;22900
GHA;23750;24000;24125;24375;23070;25393;23865;23419;25350;19773;19993;20592;21221;21863;22781;23841;23841;22265;25714
GIN;34395;34364;34695;37166;39037;41022;44434;46871;49442;52110;61600;64979;68543;72302;78000;80000;80000;82000;83783
GLP;3337;3280;2845;2807;2726;2676;2647;2921;3021;3000;2900;2950;3000;2808;2930;3014;3012;2995;2998
GMB;3469;3102;3144;3804;3918;3936;3965;3984;4032;4146;4080;3840;3840;3720;4547;4701;4165;4312;4326
GNB;4510;4532;4532;5148;5148;5247;5346;5445;6652;6149;6353;6490;6710;6715;6835;6961;7163;7311;7444
GNQ;45;46;46;46;46;46;47;47;47;47;49;49;48;50;50;50;50;50;50
GRC;70129;74950;73158;74428;77128;72555;72988;75897;72517;74104;72096;69983;69639;68951;49393;40518;40350;42917;40874
GRD;138;141;141;143;143;143;140;154;160;140;140;140;140;137;142;144;146;146;146
GTM;62000;62000;63000;63000;63000;63000;65000;68934;74186;93375;105596;118715;136056;144576;175478;181360;185900;174200;179499
GUF;371;306;286;241;215;272;295;303;302;303;311;307;334;355;412;457;493;544;567
GUM;6;6;7;7;8;8;8;9;9;8;9;9;9;10;10;10;10;10;10
GUY;1900;2000;1530;1750;1882;2028;2107;2160;2131;2110;2260;2153;1635;2262;2667;2282;2036;1979;2197
HKG;18000;15000;14000;13000;14000;14000;14000;12400;8600;8500;8500;8500;7800;7900;8300;6900;6600;6600;6669
HND;55000;55295;54462;61372;63571;65744;67600;70907;74376;55840;58593;64987;62265;63000;63259;63668;64709;65342;65990
HRV;27854;25570;26602;28150;31507;32800;36230;33400;35700;36800;37500;36200;47100;47400;44300;42000;44709;42562;43780
HTI;40300;40500;42000;42500;42730;43500;43500;43500;43500;43500;45000;45500;46500;46500;46464;47335;48148;47992;48280
HUN;66940;51600;47620;39173;37513;32241;33303;34258;32121;30149;27598;26432;25394;23457;24080;27315;28939;28162;30178
IDN;385795;382329;372599;410350;487810;396757;439729;381236;431543;443955;472364;520664;545870;542655;532907;542071;550389;564017;563161
IND;2242025;2248361;2255144;2262720;2304139;2346316;2389008;2433418;2450579;2468973;2543671;2548922;2553761;2581291;2576037;2560374;2594635;2601639;2610256
IRL;576900;579400;540000;568000;563600;546000;537300;580800;537300;514500;559100;547100;495400;517600;582100;564100;588400;617000;638238
IRN;289000;295000;356692;330920;353500;363000;388800;407500;339585;341953;362351;367795;370873;396200;414000;331440;404692;442631;463378
IRQ;47775;50640;51150;34592;43610;48080;42610;34388;52000;55000;55786;55377;56216;54535;58423;56824;57609;58263;43570
ISL;3626;3683;3639;3624;3611;3540;3196;3557;3607;3761;3895;3858;4114;4082;3495;3605;4387;4614;4775
ISR;63800;62393;79700;90905;83043;89923;108291;105220;116554;104018;108128;116799;116919;132239;122116;132212;126488;140655;122368
ITA;1153402;1134083;1135791;1128221;1148278;1108062;1110299;1122591;1059314;1055003;1075333;1011018;981660;853980;709427;788277;809656;756421;809218
JAM;14041;13096;14260;13714;10751;10390;6034;5539;5994;5426;5264;5621;5800;5600;6196;7523;7712;6695;6570
JOR;6500;12000;11650;10134;15633;7530;14820;13780;19130;13325;12299;17761;19584;23547;19497;27452;29552;28420;28280
JPN;530438;458600;536600;496000;513600;499470;496992;503902;519879;517020;514959;500370;518650;507985;502135;481019;464351;469096;475346
KAZ;306300;287600;296000;311900;329700;348300;366500;385900;400100;396096;406817;392850;373524;383468;405474;416823;430600;450432;477407
KEN;256619;282096;318650;342700;350200;396200;430000;445000;458000;483000;462000;458000;410600;425000;442571;487176;528990;588963;652010
KGZ;100622;100065;104768;94035;94595;90850;91157;90808;93345;94545;97712;98685;97074;98600;101574;99059;102689;103626;108631
KHM;68700;67000;62200;63120;64080;67120;70320;71440;72800;75000;72672;72800;73200;69683;66878;68263;67095;67542;66688
KIR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KNA;127;125;125;125;125;93;60;90;119;105;98;78;61;51;49;51;46;46;42
KOR;305868;232579;210804;188000;186000;195000;200000;219000;246000;283000;247000;280000;312000;344000;335000;323000;277000;281000;281897
KWT;806;465;722;980;479;728;1259;796;1488;1624;2004;1609;1433;1353;1888;1882;1401;2151;1936
LAO;33000;34400;37550;39800;39535;40584;41282;42230;43530;44250;45220;46480;48970;49370;49968;51469;53123;54413;53371
LBN;57600;42903;54600;55566;52857;61467;51944;46531;46620;61568;45764;44689;44107;47545;45575;46163;45719;42141;43193
LBR;1000;1000;1000;1000;1000;1000;1019;1045;1056;1075;1100;1125;1138;1160;1217;1249;1228;1251;1270
LBY;8200;6300;7400;8800;8000;7600;9600;9800;16000;9800;13400;9000;8900;8900;9025;9180;9370;9652;9801
LCA;528;364;382;382;419;419;437;437;455;455;455;455;436;432;458;455;448;450;448
LKA;32336;30800;31290;32677;31703;32896;29979;27249;26009;27267;33462;27441;28735;28082;24484;26812;27219;24333;25462
LSO;10140;10140;10075;10010;10140;11310;10140;10400;10400;10400;10660;12450;12600;13500;11433;11049;11331;10384;11406
LTU;75411;47331;44732;43230;47600;52891;47323;55977;47539;45114;43717;41980;40902;37709;40240;45102;43319;41917;41660
LUX;8167;11246;10738;10927;10700;9934;9333;9210;9171;9096;9390;9066;8585;8060;8593;9180;9529;9643;9955
LVA;22342;19044;16043;21193;21587;20444;20684;22755;21445;20452;18414;18015;17312;16688;17659;18769;19468;18450;17475
MAC;1043;1138;1086;1078;1129;1071;1239;1170;820;918;908;928;798;810;828;840;831;820;809
MDA;17979;15580;16106;16300;16024;15641;14975;15178;10584;11046;10158;9676;9509;8288;8220;8419;9513;7609;8052
MDG;147900;118575;111563;114750;114750;133875;134258;134640;150450;153000;159375;165750;172125;172125;172253;175445;175526;175467;175962
MEX;1408618;1444621;1467574;1503760;1543730;1557707;1612992;1635040;1667136;1704985;1744738;1803932;1820547;1806758;1827152;1845236;1878705;1926901;1980846
MKD;6300;6900;6738;8691;8824;7604;7132;7121;7018;7307;7100;5301;4981;5485;5522;4875;3962;4636;4381
MLI;56312;66902;85661;94023;77269;107679;105885;112320;129142;136305;143676;149500;169000;159751;168645;160000;175500;182000;188715
MLT;1608;1536;1636;1408;1290;1390;1398;1386;1479;1543;1422;1128;1111;1134;1129;1032;1151;1117;1044
MMR;91244;95466;101862;113393;134341;151444;171874;187120;206695;239197;264954;293916;318478;344532;372326;405377;451465;479596;469880
MNE;0;0;0;0;0;0;4456;4991;4612;4576;4727;4688;4391;4191;3834;3211;5416;3875;4284
MNG;113400;66900;60700;43600;52300;45300;44200;46600;54200;58565;47547;53591;59704;56436;54876;93252;92383;97680;126591
MOZ;12000;11250;3531;4941;5377;6148;6205;6691;7673;9356;8103;9926;11852;10772;11920;12303;15476;15444;13884
MRT;21000;22000;22000;23000;24000;25200;25800;25800;25800;25800;25787;27000;28200;29400;29000;30320;30612;30215;30176
MSR;720;720;720;720;720;720;781;750;720;720;720;729;736;730;736;736;735;736;736
MTQ;1947;1750;1842;1600;1700;1647;1626;1214;1200;1259;1090;1035;1010;1000;954;1036;1000;955;874
MUS;3250;2266;2792;2872;3284;3340;3071;1995;2050;2300;2420;2883;2414;2112;2111;2213;1763;1749;1817
MWI;17425;19475;21876;22588;22089;21344;24104;26583;28815;30046;32225;34055;35683;38382;39514;42362;41615;45736;50018
MYS;17501;19319;22190;23966;26658;29396;31885;34976;38250;42178;46510;48835;51277;51715;52901;50494;47956;49598;51301
NAM;63818;58035;49350;51600;43992;40191;36179;36164;36215;35993;35000;34300;35800;35500;38476;35811;34543;36499;31861
NCL;4038;4073;4005;3998;4034;3520;2992;3131;3147;3192;3426;3414;3416;3297;3484;3612;3036;2955;2886
NER;47549;43931;46277;45050;51440;58522;62825;53391;52622;54004;60357;54829;59105;41905;54439;58942;58909;59811;58560
NGA;279000;316031;357425;307827;323410;305610;259457;327984;328250;330250;306960;350009;288281;377794;381080;384396;379016;381796;390214
NIC;52500;54077;60145;65558;74844;75983;84620;92782;96080;107587;121040;128603;115121;120687;122108;115216;114368;147749;136940
NIU;2;2;2;2;2;2;3;3;3;3;3;3;3;2;3;3;3;3;3
NLD;471000;372000;384000;365000;386000;396008;384000;385571;378383;401752;388610;381559;373531;379100;376180;382520;416060;440639;385859
NOR;90568;85806;85637;85314;86572;87393;87643;84678;86447;84787;83508;81638;77982;83696;78732;79672;81676;85196;89396
NPL;169794;172023;174695;178391;182050;187828;190915;196331;201160;206777;212363;218868;223839;226982;225756;225631;227132;232550;237816
NRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NZL;587457;590911;574304;632120;710348;663435;639975;631690;631020;637664;638013;618211;607044;627174;625675;675844;673070;641745;676530
OMN;3936;4048;4148;4148;4160;4810;5200;7410;8450;11440;14950;14950;15340;20800;17873;13888;14166;14449;14738
PAK;886000;908000;931000;953000;979000;1004000;1300000;1344000;1388000;1437000;1485000;1536000;1587000;1647000;1694000;1750000;1810000;1872000;1934000
PAN;69568;67313;65067;60539;63597;65575;67063;65400;67974;74558;79280;86302;91677;84897;82938;80899;71071;70079;70397
PHL;261772;255165;262471;259261;258949;249865;251822;288243;285979;288360;300005;300603;294983;296876;301468;304628;312033;310977;310720
PNG;2700;3000;3000;3075;3105;3135;3165;3210;3210;3210;3225;3240;3300;3265;3246;3242;3252;3255;3253
POL;348500;316300;281300;317400;310500;309500;362900;379500;393400;396900;400900;391200;382900;373900;446300;486700;512000;572300;595100
PRI;15122;12511;10647;9656;12583;9802;9800;10000;10200;10300;9031;8779;8495;8210;6793;7004;8084;8416;8205
PRK;20025;21450;21600;21750;21300;21450;21600;21750;21750;21750;21795;21795;21975;21975;21864;21804;21789;21932;21722
PRT;100787;96312;106638;105772;119260;119019;106087;91743;108540;102995;93159;96003;92988;84011;79843;88645;90704;91187;94026
PRY;231075;230884;233632;228960;215000;248679;300000;264829;293500;312000;343000;348000;302399;384378;467288;448537;468000;485000;495000
PSE;13921;11047;8268;7198;5028;5228;5437;4886;5065;4300;5810;6190;8100;8239;7510;8290;8476;8092;8286
PYF;207;157;117;156;174;129;130;149;118;162;116;132;164;144;147;144;144;143;143
QAT;540;312;312;324;480;300;324;324;324;516;576;468;480;495;481;647;541;556;581
REU;1615;1750;1782;1670;1733;1798;1859;1915;1816;1730;1440;1490;1550;1570;1621;1622;1608;1591;1593
ROU;162000;144558;156106;185400;161618;190196;159313;164642;149660;155199;154464;142306;114464;96179;107581;118851;116177;110991;98667
RUS;1897900;1878600;1967400;2002300;1953900;1809200;1721500;1699200;1768716;1740628;1727311;1625469;1641519;1633258;1654135;1649373;1588769;1569267;1608136
RWA;17160;19448;19760;23638;22965;23920;28600;31200;36920;35360;27538;28311;29021;29807;32209;37075;31637;29833;32707
SAU;21600;21640;21870;22275;22180;22400;24000;29000;29000;42100;44000;43600;51000;52000;37906;40800;41200;41600;42023
SDN;0;0;0;0;0;0;0;0;0;0;0;0;358000;358000;365000;366752;371735;379644;388987
SEN;46157;48407;45055;43305;43130;47196;50004;39472;52366;59464;61079;65052;76927;79533;74516;83794;78409;78777;82569
SGP;37;39;42;40;44;41;42;42;42;42;45;45;50;50;51;47;46;47;47
SLB;611;592;648;648;694;694;722;740;740;740;740;740;749;758;766;766;778;783;788
SLE;6489;5665;5665;6180;6592;7210;8755;8755;9270;9785;10094;11330;11536;12312;13300;13200;13417;13387;13409
SLV;34749;34654;39944;29234;26499;26978;30562;31258;32137;31097;32992;23377;26023;18412;18630;18578;18697;18315;17407
SOM;61600;62700;61600;63800;64900;67650;66000;59400;58850;58300;59180;59620;59840;60500;60439;60387;59988;59282;58690
SPM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRB;0;0;0;0;0;0;83482;94593;98676;99987;95587;80645;78508;68467;73492;66032;71014;62033;71158
SSD;0;0;0;0;0;0;0;0;0;0;0;0;200000;213000;225000;213340;217610;238910;227739
STP;108;109;114;119;122;125;120;128;128;132;134;137;140;144;159;167;157;161;161
SUR;1952;1890;1606;1607;1483;1338;1610;1594;1726;1891;1882;1940;1850;1674;1660;1474;1934;1903;1616
SVK;47950;38175;41640;32885;25580;26385;21413;22989;19862;17672;15611;13177;13177;11721;11597;10711;10261;10534;10422
SVN;34572;39159;40472;43136;40079;37382;37908;36203;36943;35260;35772;35571;33089;32104;31566;33583;35656;35795;34870
SWE;149810;143190;146480;140400;142420;135940;137410;133540;128790;139830;137800;137880;125340;125880;131620;143980;131250;132070;136870
SWZ;17600;8018;12500;12900;15000;14300;15000;15000;15200;15400;15850;16450;17000;17100;16635;16559;16540;16658;16710
SYC;35;30;30;30;25;20;13;17;12;8;7;3;5;10;14;10;11;12;11
SYR;47255;42420;47223;47190;48365;55411;60554;65944;64247;63411;62215;71503;68859;70509;65623;64014;72939;73138;74227
TCD;176760;186120;196080;206520;217440;228960;241080;253920;267360;281640;296520;312240;328800;346320;364680;384022;397527;420468;443952
TGO;6620;8153;8063;7475;7863;8200;8325;8531;8800;9085;9250;9375;9625;9813;10892;10234;10393;10703;10632
THA;201859;149545;143184;145131;153142;154628;163351;182818;173662;178948;201066;187900;173736;166215;161922;169505;150496;135190;151730
TJK;14800;16800;19900;25000;27100;26700;23700;25200;25100;25976;28642;29300;30683;38500;44200;37794;40165;40720;39560
TKL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TKM;72000;80000;92000;100500;100000;103000;102000;138000;136000;140000;140004;140004;144990;142301;143067;143305;143199;143306;144223
TLS;1839;1664;2281;1859;1427;1437;1468;1488;1519;1549;1600;1662;1712;1763;1765;1870;1799;2048;2074
TON;350;342;342;342;342;342;352;361;361;361;349;348;370;358;378;381;381;382;383
TTO;810;823;859;762;765;765;600;500;700;1250;1155;975;993;1008;1036;1025;1028;1055;1068
TUN;52000;52400;56000;50200;46700;45800;48800;52400;54000;51600;55800;54300;54600;56000;58000;58300;59300;59800;60291
TUR;358683;333884;329260;292163;366950;323258;342479;433951;371953;326291;621971;646521;801080;869628;882524;1015251;1059546;988821;1004261
TUV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TWN;5681;5707;5853;6023;5620;6048;5626;5480;5683;6099;6343;6169;6187;6693;6874;6875;6818;7027;7059
TZA;230000;181000;182000;182500;184000;204520;208046;180629;218976;225178;243943;262606;289835;299581;309353;319112;319803;320420;329372
UGA;96750;101400;115000;125000;135000;147000;160000;174150;169950;175049;180300;185709;191280;199008;204731;214210;223721;231432;238729
UKR;754300;645700;703800;722900;618000;561800;567400;546100;479700;453500;427700;399100;388500;427800;412700;384000;376000;363500;358900
URY;453123;317000;411841;424211;496498;590000;600000;522982;526869;491213;524000;479000;484787;491700;517500;536769;564878;594122;589732
USA;12016583;12195753;11890031;12334552;11947637;11180612;11242845;11909626;12030872;12091245;11818953;11969954;11916067;11788608;11698116;10777601;11470607;11907239;12219203
UZB;390000;404000;425300;455900;493600;518100;551590;551000;586000;622700;665300;667500;708200;750000;800000;850000;829123;735139;922364
VCT;217;210;199;182;182;182;181;199;199;208;213;220;208;206;212;213;201;202;207
VEN;428755;418182;428845;435181;375982;424656;515946;480897;482965;492276;469932;488653;584838;577183;524008;434306;431716;432000;442290
VGB;138;138;138;139;139;139;140;155;132;131;131;130;130;129;140;140;140;140;140
VIR;424;417;520;478;481;491;524;550;520;541;550;527;516;513;480;484;513;507;505
VNM;186269;194530;201354;204290;220839;245363;277616;315795;333191;368944;384261;386499;382438;370937;378758;385476;395238;409625;426582
VUT;3754;3028;2531;3127;2983;3195;3083;3147;3297;2560;3537;3214;3390;3289;2987;3242;3204;3129;3151
WLF;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
WSM;995;1053;1300;1100;1100;1100;1100;1100;1100;1411;1435;1512;1530;1593;1828;1651;1843;1906;1933
YEM;51698;56188;59283;69541;70931;72627;72793;81936;90242;96735;107512;109850;111286;111787;116282;114743;111133;111177;117617
ZAF;582000;572000;579000;635000;683000;746000;832000;829000;798000;803000;897000;878000;875000;953107;1000659;1072800;1089686;1014071;1003214
ZMB;52800;54400;59200;59200;56000;59200;57600;58400;78400;121600;153600;153970;160899;197827;208000;161000;159400;209300;187197
ZWE;101250;108000;96750;99450;102375;101700;102375;103500;103950;109000;115634;121300;122000;123000;97891;114297;111470;107633;111133
